scenario,algo,algo_label,n_runs,run_id_mean,run_id_std,n_qos_flows_mean,n_qos_flows_std,n_decisions_mean,n_decisions_std,n_timing_mean,n_timing_std,throughput_mean_mean,throughput_mean_std,throughput_std_mean,throughput_std_std,throughput_min_mean,throughput_min_std,throughput_max_mean,throughput_max_std,latency_mean_ms_mean,latency_mean_ms_std,latency_std_ms_mean,latency_std_ms_std,latency_p50_ms_mean,latency_p50_ms_std,latency_p95_ms_mean,latency_p95_ms_std,latency_p99_ms_mean,latency_p99_ms_std,jitter_mean_ms_mean,jitter_mean_ms_std,jitter_std_ms_mean,jitter_std_ms_std,jitter_p95_ms_mean,jitter_p95_ms_std,packet_loss_mean_mean,packet_loss_mean_std,packet_loss_max_mean,packet_loss_max_std,latency_mdev_mean_mean,latency_mdev_mean_std,latency_pre_ms_mean,latency_pre_ms_std,latency_post_ms_mean,latency_post_ms_std,jitter_pre_ms_mean,jitter_pre_ms_std,jitter_post_ms_mean,jitter_post_ms_std,throughput_pre_mean,throughput_pre_std,throughput_post_mean,throughput_post_std,loss_pre_pct_mean,loss_pre_pct_std,loss_post_pct_mean,loss_post_pct_std,flow_setup_mean_ms_mean,flow_setup_mean_ms_std,flow_setup_std_ms_mean,flow_setup_std_ms_std,flow_setup_p50_ms_mean,flow_setup_p50_ms_std,flow_setup_p95_ms_mean,flow_setup_p95_ms_std,flow_setup_p99_ms_mean,flow_setup_p99_ms_std,flow_setup_max_ms_mean,flow_setup_max_ms_std,end_mape_mean,end_mape_std,end_jfi_c_mean,end_jfi_c_std,n_flows_mean,n_flows_std
steady,saintelague,Sainte-Lague,15,8,4.47213595499958,11,0.0,0,0.0,0,0.0,3.144739393939394,0.0005648360365014746,0.0007263034831355558,0.0003610926448156724,3.1438466666666667,0.0008441958698469867,3.145566666666667,4.879500364731294e-05,15.30398787878788,2.3090130130195425,4.336831487568458,1.5252037913476142,15.6482,2.825594708577799,20.724333333333334,3.405562160782325,22.068226666666668,5.360306373235806,0.0,0.0,0.0,0.0,0.0,0.0,0.04232848484848485,0.018667607597019516,0.0743,0.0,0.0,0.0,15.30398787878788,2.3090130130195425,15.30398787878788,2.3090130130195425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
steady,wrr,WRR,15,8,4.47213595499958,11,0.0,0,0.0,0,0.0,3.1446630303030303,0.00043244270172984367,0.0008681416311396523,0.00013188119078995692,3.1435400000000002,6.324555320343084e-05,3.145566666666667,4.879500364731294e-05,15.525557575757576,1.9009078595543618,4.466802849499479,1.5498136107267328,16.73806666666667,2.3593864053019824,20.5844,3.7991376145496116,21.112613333333332,3.866620438697388,0.0,0.0,0.0,0.0,0.0,0.0,0.04998363636363637,0.018550860938469717,0.0743,0.0,0.0,0.0,15.525557575757576,1.9009078595543618,15.525557575757576,1.9009078595543618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
steady,iwrr,IWRR,15,8,4.47213595499958,11,0.0,0,0.0,0,0.0,3.1448563636363636,0.0003965196880938608,0.0008634663624544635,0.0001689590696246438,3.143553333333333,7.43223352957523e-05,3.1456,0.0,14.836909090909092,1.5662966685264552,4.6056222449912285,0.9859372952089369,15.579266666666667,1.7914618319233304,20.321133333333332,2.2332731461328446,21.40028,3.374310926100321,0.0,0.0,0.0,0.0,0.0,0.0,0.037375151515151514,0.0146360855288036,0.0743,0.0,0.0,0.0,14.836909090909092,1.5662966685264552,14.836909090909092,1.5662966685264552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
steady,wlc,WLC,15,8,4.47213595499958,11,0.0,0,0.0,0,0.0,3.144669090909091,0.000354575423308829,0.0009323502835336601,0.00011708822711716698,3.1434333333333333,0.00020930724738893079,3.14558,4.140393356044476e-05,14.88809090909091,1.2717842364323357,4.862682025946739,1.4998704340106999,15.6424,1.6638751155059688,20.361366666666665,2.625911599988161,21.38406,4.150802012313835,0.0,0.0,0.0,0.0,0.0,0.0,0.04998363636363637,0.013460757691850967,0.0743,0.0,0.0,0.0,14.88809090909091,1.2717842364323357,14.88809090909091,1.2717842364323357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
single_change,saintelague,Sainte-Lague,20,10.5,5.916079783099616,15,0.0,0,0.0,0,0.0,3.045366,0.023490431437562086,0.11273599031690651,0.00490660305236429,2.896395,0.022177833290781167,3.14557,4.701623459805315e-05,18.952133333333332,2.9025638795877895,7.397515393702224,2.6001966208545317,17.731,2.1443174598041805,31.196970000000007,7.235903311601264,35.056433999999996,9.816013883939263,0.0,0.0,0.0,0.0,0.0,0.0,0.04020933333333333,0.009855504212106746,0.09684,0.021577361430809593,0.0,0.0,15.709783333333332,2.9681886668944575,21.1137,3.726766190230771,0.0,0.0,0.0,0.0,3.1446783333333332,0.0005940519007786132,2.979157777777778,0.0392404237872038,0.04519916666666667,0.016208254949524083,0.03688277777777778,0.01580955513173245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
single_change,wrr,WRR,20,10.5,5.916079783099616,15,0.0,0,0.0,0,0.0,3.0351293333333333,0.014721137351179072,0.11509379828456298,0.0032069717684696524,2.90163,0.02190948124490978,3.14555,6.06976978666047e-05,19.328096666666667,2.2005796830627995,7.278315234484736,2.1575601832165154,17.91455,1.8109293477746664,31.083895000000005,6.076826988216015,34.753099,7.674368102411051,0.0,0.0,0.0,0.0,0.0,0.0,0.03696233333333333,0.009436751665075441,0.086345,0.020077493946155097,0.0,0.0,17.284158333333334,3.4105031755952986,20.690722222222224,2.9063344820421952,0.0,0.0,0.0,0.0,3.1444183333333333,0.0005696746788878942,2.96227,0.02448188549415517,0.055725000000000004,0.015817637187608976,0.02445388888888889,0.013288056299584327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
single_change,iwrr,IWRR,20,10.5,5.916079783099616,14.95,0.22360679774997896,0,0.0,0,0.0,3.1111419285714286,0.04311165936032222,0.04616355802763418,0.05228176910298864,3.0419,0.1156860406444961,3.14559,3.077935056248289e-05,14.09424761904762,1.7641661244882074,5.785400994452573,2.4541673292873707,13.0054,2.070659198368837,22.956502500000003,5.517692664140913,25.942380499999995,9.272614576794039,0.0,0.0,0.0,0.0,0.0,0.0,0.044930023809523816,0.017049849988770436,0.09786,0.022899836818540638,0.0,0.0,13.286766666666667,2.8640527252244325,14.650186805555556,3.3655651899296797,0.0,0.0,0.0,0.0,3.1449108333333333,0.000503707743863478,3.0883611111111113,0.07223382637320698,0.04148416666666667,0.017175304822920436,0.047249375,0.021929680439834655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
single_change,wlc,WLC,20,10.5,5.916079783099616,14.95,0.22360679774997896,0,0.0,0,0.0,2.9432373571428574,0.03334383346918424,0.20281121671777919,0.015904399264199624,2.65153,0.062474062828631424,3.14557,4.701623459805315e-05,17.661852857142858,2.3189584299070454,7.246754877840087,5.527369582779289,16.6791,0.8203550515028936,28.56190000000001,9.122150910082333,36.385859999999994,19.875122266502427,0.0,0.0,0.0,0.0,0.0,0.0,0.027377428571428573,0.008775351135414866,0.07896500000000001,0.012379876497981033,0.0,0.0,14.891825,2.527003531723315,19.523647222222223,3.047963248683703,0.0,0.0,0.0,0.0,3.144664166666667,0.0005244399686349367,2.808049722222222,0.05626238740145242,0.045818333333333336,0.016613985072823436,0.015017152777777779,0.010111241517166818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
frequent_changes,saintelague,Sainte-Lague,20,10.5,5.916079783099616,18.3,0.9787209698591858,0,0.0,0,0.0,2.9722513139619884,0.21510060771028952,0.27055628580112584,0.36218628598463704,2.3303700000000003,1.1954605644511636,3.14544,0.000477272955115022,18.173487303569754,2.0728640742607007,7.504218963792667,2.15699540049339,17.139425,1.7638880892639894,30.658707500000006,4.923568627858281,35.7345815,8.617631347389995,0.0,0.0,0.0,0.0,0.0,0.0,0.032788984240626075,0.012544586794350748,0.169365,0.13811058221965697,0.0,0.0,18.173487303569754,2.0728640742607007,18.173487303569754,2.0728640742607007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
frequent_changes,wrr,WRR,20,10.5,5.916079783099616,17.95,0.8255779474818965,0,0.0,0,0.0,3.093735012383901,0.05226927291649514,0.12142307809118458,0.16054130509036424,2.77005,0.6520317456753322,3.14558,4.103913408331052e-05,17.86502988353236,1.5789327245002254,6.713174610650698,2.3981068712122795,17.598925,1.3911853642714753,28.251999999999995,7.268200574184712,33.63591999999999,9.49809666603567,0.0,0.0,0.0,0.0,0.0,0.0,0.0521194527003784,0.00840016800937707,0.12139,0.10844622193802593,0.0,0.0,17.86502988353236,1.5789327245002254,17.86502988353236,1.5789327245002254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
frequent_changes,iwrr,IWRR,20,10.5,5.916079783099616,17.8,1.880649383926509,0,0.0,0,0.0,3.043320387218045,0.22822438298857933,0.21916434134756574,0.4287318004384185,2.538815,1.0982839376308364,3.14559,3.077935056248289e-05,14.694758020050125,1.589260030410323,4.932688055280854,1.47817458433954,14.527700000000001,1.21995060728315,21.7265275,3.8237880685283407,24.3738255,6.400385621311356,0.0,0.0,0.0,0.0,0.0,0.0,0.046199561403508775,0.012040415906275572,0.17932,0.1448936582826395,0.0,0.0,14.694758020050125,1.589260030410323,14.694758020050125,1.589260030410323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
frequent_changes,wlc,WLC,19,10.105263157894736,5.801290439224183,18.105263157894736,1.3701069237311885,0,0.0,0,0.0,2.6848137529226834,0.1626865624043636,0.7210259445727836,0.22509959652402542,0.8195052631578947,0.6140475872562359,3.145563157894737,4.955946277821971e-05,18.667959984023184,1.736671637360688,6.367795918061701,1.3636154001691283,17.34071052631579,1.6420082327898688,27.888739473684215,3.2374910449717,32.28713736842105,6.606974271500149,0.0,0.0,0.0,0.0,0.0,0.0,0.023771601895605888,0.008391879754182093,0.08606315789473684,0.021084939610123928,0.0,0.0,18.667959984023184,1.736671637360688,18.667959984023184,1.736671637360688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
